page,claim_source_url,count
http://www.emergent.info/isis-fighter-jets,http://www.reuters.com/article/2014/10/17/us-mideast-crisis-jets-idUSKCN0I60TM20141017,0
http://www.emergent.info/ferguson-protest-sign,http://imgur.com/gallery/BGIRJUh,0
http://www.emergent.info/bruno-mars-michel-jackson-son-hoax,http://empirenews.net/dna-results-confirm-michael-jackson-is-biological-father-of-bruno-mars/,1
http://www.emergent.info/IBM-job-cuts,http://www.forbes.com/sites/robertcringely/2015/01/22/next-weeks-bloodbath-at-ibm-wont-fix-the-real-problem/,0
http://www.emergent.info/stainless-Apple-Watch-price,http://appleinsider.com/articles/15/03/02/piper-jaffray-pegs-stainless-steel-apple-watch-price-at-499-edition-at-4999,0
http://www.emergent.info/Apple-Watch-Edition-display,http://grail-watch.com/2015/02/16/gold-apple-watch-edition-must-cost-10000/,0
http://www.emergent.info/kim-jong-un-hurt-leg,http://www.reuters.com/article/2014/10/09/us-northkorea-kim-idUSKCN0HY09T20141009,0
http://www.emergent.info/Apple-Watch-diagnostics-port,http://techcrunch.com/2015/03/05/would-you-buy-a-smart-band-for-an-apple-watch/,0
http://www.emergent.info/Ebola-rats-ghost-ship,http://worldnewsdailyreport.com/ghost-ship-filled-with-ebola-ridden-rats-heading-for-florida/,0
http://www.emergent.info/hackers-thank-sony-for-pulling-film,http://money.cnn.com/2014/12/19/media/insde-sony-hack-interview/index.html,0
http://www.emergent.info/steel-Apple-Watch-sport-band,http://daringfireball.net/2015/03/apple_watch_prelude,0
http://www.emergent.info/woman-in-kfc-for-week,http://www.dailymail.co.uk/news/article-2803459/Comfort-eating-Chinese-woman-26-spends-entire-WEEK-KFC-dumped-boyfriend.html,0
http://www.emergent.info/ISIS-claims-death-Kayla-Mueller,https://ent.siteintelgroup.com/Statements/is-claims-american-female-hostage-killed-in-jordanian-airstrike.html,0
http://www.emergent.info/apple-12-inch-Macbook-air,http://9to5mac.com/2015/01/06/macbook-air-12-inch-redesign/,0
http://www.emergent.info/Texas-Sharia-law,http://www.breitbart.com/texas/2015/01/27/hold-islamic-tribunal-confirmed-in-texas-its-voluntary-says-attorney/,0
http://www.emergent.info/jong-un-cobra-wine,http://www.dailystar.co.uk/news/latest-news/411816/kim-jong-un-necks-litres-rare-snake-wine-because-too-fat-please-wife,0
http://www.emergent.info/bride-marries-wedding-guest,http://timesofindia.indiatimes.com/City/Bareilly/Groom-unwell-bride-weds-guest-in-fit-of-rage/articleshow/46277810.cms,0
http://www.emergent.info/Apple-Watch-email,http://9to5mac.com/2015/03/06/sources-offer-hands-on-apple-watch-details-battery-life-unannounced-features-and-more/,0
http://www.emergent.info/did-nbc-meteorologist-relieve-himself,http://theconcourse.deadspin.com/did-nbc-nightly-news-go-live-to-a-man-who-was-taking-a-1653677899,0
http://www.emergent.info/apple-path,http://pando.com/2014/09/09/source-apple-set-to-acquire-path-in-an-attempt-to-bolster-ios-social-cred/,0
